Var1,Var2
ACALD,0
ACALDt,0
ACKr,0
ACONTa,3.60036100754834
ACONTb,3.60036100754834
ACt2r,-0
ADK1,0
AKGDH,3.12171005697219
AKGt2r,-0
ALCD2x,0
ATPM,8.39
ATPS4r,26.1344945838612
Biomass_Ecoli_core_N(w/GAM)-Nmet2,0.443647187483688
CO2t,-12.9563721130379
CS,3.60036100754834
CYTBD,24.886943199176
D-LACt2,-0
ENO,8.02143832497954
ETOHt2r,-0
EX_ac(e),0
EX_acald(e),0
EX_akg(e),0
EX_co2(e),12.9563721130379
EX_etoh(e),0
EX_for(e),0
EX_fru(e),0
EX_fum(e),0
EX_glc(e),-5.306
EX_gln-L(e),0
EX_glu-L(e),0
EX_h2o(e),16.1880756855441
EX_h(e),8.8995625809228
EX_lac-D(e),0
EX_mal-L(e),0
EX_nh4(e),-2.41911938391105
EX_o2(e),-12.443471599588
EX_pi(e),-1.63204490859625
EX_pyr(e),0
EX_succ(e),0
FBA,4.117185978553
FBP,0
FORt2,0
FORti,1.06236441368093e-30
FRD7,0
FRUpts2,0
FUM,3.12171005697219
FUMt2_2,0
G6PDH2r,2.24255449217094
GAPD,8.68513451745513
GLCpts,5.306
GLNS,0.113440585839579
GLNabc,0
GLUDy,-2.30567879807148
GLUN,0
GLUSy,0
GLUt2r,-0
GND,2.24255449217094
H2Ot,-16.1880756855441
ICDHyr,3.60036100754834
ICL,-9.73834045874185e-31
LDH_D,0
MALS,0
MALt2_2,0
MDH,3.12171005697219
ME1,0
ME2,0
NADH16,21.7652331422039
NADTRHD,0
NH4t,2.41911938391105
O2t,12.443471599588
PDH,5.2630619367997
PFK,4.117185978553
PFL,1.06236441368093e-30
PGI,2.9724978343949
PGK,-8.68513451745513
PGL,2.24255449217094
PGM,-8.02143832497953
PIt2r,1.63204490859625
PPC,1.27131538045326
PPCK,0
PPS,0
PTAr,0
PYK,1.2138256895035
PYRt2r,-0
RPE,1.17614272975068
RPI,-1.06641176242025
SUCCt2_2,0
SUCCt3,0
SUCDi,3.12171005697219
SUCOAS,-3.12171005697219
TALA,0.668149682216148
THD2,0
TKT1,0.668149682216148
TKT2,0.507993047534537
TPI,4.117185978553
