Var1,Var2
ACALD,0
ACALDt,0
ACKr,-3.04319074412358
ACONTa,2.84929219066352
ACONTb,2.84929219066352
ACt2r,-3.04319074412358
ADK1,0
AKGDH,2.16333292098842
AKGt2r,-0
ALCD2x,0
ATPM,8.39
ATPS4r,32.3542633746409
Biomass_Ecoli_core_N(w/GAM)-Nmet2,0.635795040944574
CO2t,-15.835042646836
CS,2.84929219066352
CYTBD,30.2
D-LACt2,-0
ENO,12.2283712563121
ETOHt2r,-0
EX_ac(e),3.04319074412358
EX_acald(e),0
EX_akg(e),0
EX_co2(e),15.835042646836
EX_etoh(e),0
EX_for(e),-0
EX_fru(e),0
EX_fum(e),0
EX_glc(e),-8.163
EX_gln-L(e),0
EX_glu-L(e),0
EX_h2o(e),20.4664280430927
EX_h(e),15.7972392654717
EX_lac-D(e),0
EX_mal-L(e),0
EX_nh4(e),-3.46686319926257
EX_o2(e),-15.1
EX_pi(e),-2.33889921712281
EX_pyr(e),0
EX_succ(e),0
FBA,6.07422926768054
FBP,0
FORt2,0
FORti,0
FRD7,0
FRUpts2,0
FUM,2.16333292098842
FUMt2_2,0
G6PDH2r,4.36903621527567
GAPD,13.1795206375651
GLCpts,8.163
GLNS,0.162572791969528
GLNabc,0
GLUDy,-3.30429040729305
GLUN,0
GLUSy,0
GLUt2r,-0
GND,4.36903621527567
H2Ot,-20.4664280430927
ICDHyr,2.84929219066352
ICL,-2.83297176981581e-30
LDH_D,0
MALS,0
MALt2_2,0
MDH,2.16333292098842
ME1,0
ME2,0
NADH16,28.0366670790116
NADTRHD,0
NH4t,3.46686319926257
O2t,15.1
PDH,8.27531558923917
PFK,6.07422926768054
PFL,0
PGI,3.66362580133069
PGK,-13.1795206375652
PGL,4.36903621527567
PGM,-12.2283712563121
PIt2r,2.33889921712281
PPC,1.82193426933077
PPCK,0
PPS,0
PTAr,3.04319074412358
PYK,1.91339578122697
PYRt2r,-0
RPE,2.45568133475282
RPI,-1.91335488052285
SUCCt2_2,0
SUCCt3,0
SUCDi,2.16333292098842
SUCOAS,-2.16333292098842
TALA,1.34260167226691
THD2,0
TKT1,1.34260167226691
TKT2,1.11307966248591
TPI,6.07422926768054
