Var1,Var2
ACALD,0
ACALDt,0
ACKr,-11.5028890915377
ACONTa,6.73255046303709
ACONTb,6.73255046303709
ACt2r,-11.5028890915377
ADK1,2.67919195909588
AKGDH,4.47122622743695
AKGt2r,-0
ALCD2x,0
ATPM,8.39
ATPS4r,33.7330216360489
Biomass_Ecoli_core_N(w/GAM)-Nmet2,0.573285393738151
CO2t,-31.5877752437007
CS,6.73255046303709
CYTBD,35.52
D-LACt2,-0
ENO,-2.3815995112064
ETOHt2r,-0
EX_ac(e),11.5028890915377
EX_acald(e),0
EX_akg(e),0
EX_co2(e),31.5877752437007
EX_etoh(e),0
EX_for(e),0
EX_fru(e),0
EX_fum(e),0
EX_glc(e),0
EX_gln-L(e),0
EX_glu-L(e),0
EX_h2o(e),9.43381536584687
EX_h(e),-3.32700591007497
EX_lac-D(e),0
EX_mal-L(e),0
EX_nh4(e),-3.12601059497539
EX_o2(e),-17.76
EX_pi(e),-2.10894497794454
EX_pyr(e),-26.33
EX_succ(e),0
FBA,-0.570246981151339
FBP,0.570246981151339
FORt2,0
FORti,0
FRD7,0
FRUpts2,0
FUM,6.114032851733
FUMt2_2,0
G6PDH2r,-4.60611129663731e-28
GAPD,-1.52396456217413
GLCpts,0
GLNS,0.146589075178845
GLNabc,0
GLUDy,-2.97942151979655
GLUN,0
GLUSy,0
GLUt2r,-0
GND,0
H2Ot,-9.43381536584687
ICDHyr,5.08974383874104
ICL,1.64280662429605
LDH_D,1.28669134509415e-28
MALS,1.64280662429605
MALt2_2,0
MDH,7.75683947602904
ME1,0
ME2,0
NADH16,29.405967148267
NADTRHD,0
NH4t,3.12601059497539
O2t,17.76
PDH,22.0268051775227
PFK,0
PFL,0
PGI,-0.117523505716321
PGK,1.52396456217413
PGL,-4.63877450408219e-28
PGM,2.3815995112064
PIt2r,2.10894497794454
PPC,0
PPCK,0
PPS,2.67919195909588
PTAr,11.5028890915377
PYK,0
PYRt2r,26.33
RPE,-0.412077541018983
RPI,-0.412077541018983
SUCCt2_2,0
SUCCt3,0
SUCDi,6.114032851733
SUCOAS,-4.47122622743695
TALA,-0.102560756939755
THD2,5.35838246213677
TKT1,-0.102560756939755
TKT2,-0.309516784079228
TPI,-0.570246981151339
