Var1,Var2
ACALD,1.24282686742048e-29
ACALDt,0
ACKr,-2.56087658663428e-29
ACONTa,3.81179638814411
ACONTb,3.81179638814411
ACt2r,-0
ADK1,0
AKGDH,3.47931433646904
AKGt2r,-0
ALCD2x,0
ATPM,8.39
ATPS4r,25.6803824190833
Biomass_Ecoli_core_N(w/GAM)-Nmet2,0.308167625984865
CO2t,-19.5377725924011
CS,3.81179638814411
CYTBD,30.2
D-LACt2,-0
ENO,-1.28022076862892
ETOHt2r,-0
EX_ac(e),0
EX_acald(e),0
EX_akg(e),0
EX_co2(e),19.5377725924011
EX_etoh(e),0
EX_for(e),9.91540119435533e-30
EX_fru(e),0
EX_fum(e),0
EX_glc(e),0
EX_gln-L(e),0
EX_glu-L(e),0
EX_h2o(e),13.6195888471252
EX_h(e),-10.1441574227436
EX_lac-D(e),0
EX_mal-L(e),0
EX_nh4(e),-1.68037643097027
EX_o2(e),-15.1
EX_pi(e),-1.13365624571052
EX_pyr(e),0
EX_succ(e),-8.163
FBA,-0.306534337567145
FBP,0.306534337567145
FORt2,0
FORti,9.91540119435533e-30
FRD7,0
FRUpts2,0
FUM,11.642314336469
FUMt2_2,0
G6PDH2r,-1.18307653167054e-29
GAPD,-0.819202000155566
GLCpts,0
GLNS,0.0787984619643298
GLNabc,0
GLUDy,-1.60157796900594
GLUN,0
GLUSy,0
GLUt2r,-0
GND,0
H2Ot,-13.6195888471252
ICDHyr,3.81179638814411
ICL,0
LDH_D,0
MALS,0
MALt2_2,0
MDH,5.80259006876893
ME1,0
ME2,5.83972426770011
NADH16,18.557685663531
NADTRHD,4.03516567227006
NH4t,1.68037643097027
O2t,15.1
PDH,4.96674701681018
PFK,0
PFL,0
PGI,-0.0631743633268972
PGK,0.819202000155566
PGL,0
PGM,1.28022076862892
PIt2r,1.13365624571052
PPC,0
PPCK,1.44019058327767
PPS,0
PTAr,2.46146270135554e-29
PYK,0
PYRt2r,-0
RPE,-0.221510889557921
RPI,-0.221510889557921
SUCCt2_2,10.1750094970976
SUCCt3,2.01200949709764
SUCDi,11.642314336469
SUCOAS,-3.47931433646904
TALA,-0.0551311882886923
THD2,0
TKT1,-0.0551311882886923
TKT2,-0.166379701269228
TPI,-0.306534337567145
