Var1,Var2
ACALD,0
ACALDt,0
ACKr,-5.44077765974452
ACONTa,2.91789135463742
ACONTb,2.91789135463742
ACt2r,-5.44077765974452
ADK1,0
AKGDH,2.34011861317283
AKGt2r,-0
ALCD2x,0
ATPM,8.39
ATPS4r,36.7017727099217
Biomass_Ecoli_core_N(w/GAM)-Nmet2,0.535520197853909
CO2t,-30.0091149007389
CS,2.91789135463742
CYTBD,42.86
D-LACt2,-0
ENO,-2.2247115579445
ETOHt2r,-0
EX_ac(e),5.44077765974452
EX_acald(e),0
EX_akg(e),0
EX_co2(e),30.0091149007389
EX_etoh(e),0
EX_for(e),-0
EX_fru(e),0
EX_fum(e),0
EX_glc(e),0
EX_gln-L(e),0
EX_glu-L(e),0
EX_h2o(e),17.9900582299859
EX_h(e),-15.6566871713061
EX_lac-D(e),0
EX_mal-L(e),0
EX_nh4(e),-2.9200845348578
EX_o2(e),-21.43
EX_pi(e),-1.97001815184518
EX_pyr(e),0
EX_succ(e),-15.92
FBA,-0.532681940805284
FBP,0.532681940805284
FORt2,0
FORti,0
FRD7,0
FRUpts2,0
FUM,18.2601186131728
FUMt2_2,0
G6PDH2r,0
GAPD,-1.42357334195505
GLCpts,0
GLNS,0.136932514591245
GLNabc,0
GLUDy,-2.78315202026655
GLUN,0
GLUSy,0
GLUt2r,-0
GND,0
H2Ot,-17.9900582299859
ICDHyr,2.91789135463742
ICL,0
LDH_D,0
MALS,0
MALt2_2,0
MDH,6.37740538479346
ME1,0
ME2,11.8827132283794
NADH16,24.5998813868272
NADTRHD,5.04074897712929
NH4t,2.9200845348578
O2t,21.43
PDH,10.3656916118988
PFK,0
PFL,0
PGI,-0.109781640560051
PGK,1.42357334195505
PGL,0
PGM,2.2247115579445
PIt2r,1.97001815184518
PPC,0
PPCK,2.50270009265046
PPS,0
PTAr,5.44077765974452
PYK,0
PYRt2r,-0
RPE,-0.38493191821739
RPI,-0.38493191821739
SUCCt2_2,15.92
SUCCt3,0
SUCDi,18.2601186131728
SUCOAS,-2.34011861317283
TALA,-0.0958045633960644
THD2,0
TKT1,-0.0958045633960644
TKT2,-0.289127354821326
TPI,-0.532681940805284
