Var1,Var2
ACALD,-8.27945538048658
ACALDt,0
ACKr,-8.5035852779613
ACONTa,0.228363156469426
ACONTb,0.228363156469426
ACt2r,-8.5035852779613
ADK1,0
AKGDH,0
AKGt2r,-0
ALCD2x,-8.27945538048658
ATPM,8.39
ATPS4r,-5.45205257681089
Biomass_Ecoli_core_N(w/GAM)-Nmet2,0.21166294973531
CO2t,0.378178192292079
CS,0.228363156469426
CYTBD,0
D-LACt2,-0
ENO,19.1206886079146
ETOHt2r,-8.27945538048658
EX_ac(e),8.5035852779613
EX_acald(e),0
EX_akg(e),0
EX_co2(e),-0.378178192292079
EX_etoh(e),8.27945538048658
EX_for(e),17.8046742179353
EX_fru(e),0
EX_fum(e),0
EX_glc(e),-10
EX_gln-L(e),0
EX_glu-L(e),0
EX_h2o(e),-7.11579598172676
EX_h(e),30.5542182675869
EX_lac-D(e),0
EX_mal-L(e),0
EX_nh4(e),-1.1541557323167
EX_o2(e),0
EX_pi(e),-0.778644493191287
EX_pyr(e),0
EX_succ(e),0
FBA,9.78945886389828
FBP,0
FORt2,0
FORti,17.8046742179353
FRD7,0
FRUpts2,0
FUM,0
FUMt2_2,0
G6PDH2r,0
GAPD,19.4373363807186
GLCpts,10
GLNS,0.0541222162473189
GLNabc,0
GLUDy,-1.10003351606938
GLUN,0
GLUSy,0
GLUt2r,-0
GND,0
H2Ot,7.11579598172676
ICDHyr,0.228363156469426
ICL,0
LDH_D,0
MALS,0
MALt2_2,0
MDH,9.13843284868001e-31
ME1,0
ME2,0
NADH16,0
NADTRHD,0
NH4t,1.1541557323167
O2t,-0
PDH,0
PFK,9.78945886389828
PFL,17.8046742179353
PGI,9.95660909530426
PGK,-19.4373363807186
PGL,0
PGM,-19.1206886079146
PIt2r,0.778644493191287
PPC,0.606541348761505
PPCK,0
PPS,0
PTAr,8.5035852779613
PYK,8.40427302194549
PYRt2r,-0
RPE,-0.152143328269741
RPI,-0.152143328269741
SUCCt2_2,0
SUCCt3,0
SUCDi,0
SUCOAS,0
TALA,-0.037866501707647
THD2,3.6291941024566
TKT1,-0.037866501707647
TKT2,-0.114276826562094
TPI,9.78945886389828
