Var1,Var2
ACALD,0
ACALDt,0
ACKr,0
ACONTa,1.19050384243601
ACONTb,1.19050384243601
ACt2r,-0
ADK1,0
AKGDH,1.06699833990682
AKGt2r,-0
ALCD2x,0
ATPM,8.39
ATPS4r,7.76952419344216
Biomass_Ecoli_core_N(w/GAM)-Nmet2,0.0313108131649614
CO2t,-3.56535269035848
CS,1.19050384243601
CYTBD,7.05830851851695
D-LACt2,-0
ENO,1.5025254888688
ETOHt2r,-0
EX_ac(e),0
EX_acald(e),0
EX_akg(e),0
EX_co2(e),3.56535269035848
EX_etoh(e),0
EX_for(e),0
EX_fru(e),0
EX_fum(e),0
EX_glc(e),-0.8163
EX_gln-L(e),0
EX_glu-L(e),0
EX_h2o(e),3.79343317777733
EX_h(e),0.62809491208914
EX_lac-D(e),0
EX_mal-L(e),0
EX_nh4(e),-0.170731602025902
EX_o2(e),-3.52915425925847
EX_pi(e),-0.115183088389944
EX_pyr(e),0
EX_succ(e),0
FBA,0.785155134144813
FBP,0
FORt2,0
FORti,-2.65591103420232e-31
FRD7,0
FRUpts2,0
FUM,1.15672260611233
FUMt2_2,0
G6PDH2r,0
GAPD,1.54936646536358
GLCpts,0.8163
GLNS,0.00800617492628063
GLNabc,0
GLUDy,-0.162725427099621
GLUN,0
GLUSy,0
GLUt2r,-0
GND,0
H2Ot,-3.79343317777733
ICDHyr,1.1007795762305
ICL,0.0897242662055131
LDH_D,0
MALS,0.0897242662055131
MALt2_2,0
MDH,1.24644687231785
ME1,0
ME2,0
NADH16,5.90158591240461
NADTRHD,0.530140006299076
NH4t,0.170731602025902
O2t,3.52915425925847
PDH,1.39757477422117
PFK,0.785155134144813
PFL,-2.65591103420232e-31
PGI,0.809881283301183
PGK,-1.54936646536358
PGL,0
PGM,-1.5025254888688
PIt2r,0.115183088389944
PPC,0
PPCK,0
PPS,0
PTAr,0
PYK,0.669972045754869
PYRt2r,-0
RPE,-0.0225062125029743
RPI,-0.0225062125029743
SUCCt2_2,0
SUCCt3,0
SUCDi,1.15672260611233
SUCOAS,-1.06699833990682
TALA,-0.0056015044752116
THD2,0
TKT1,-0.00560150447521159
TKT2,-0.0169047080277627
TPI,0.785155134144813
